Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Bikold,10/11/2014,183.83,,,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Delice de France,20/11/2014,308.6,,,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,P & H SNACKS DIRECT LTD,24/11/2014,169.96,,,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,SLUSH PUPPIE LTD,28/11/2014,257.76,,,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,SLUSH PUPPIE LTD,28/11/2014,424.68,,,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,TROPICAL ICE,28/11/2014,1446.74,,,,,,,,,
Customer Services,Catering,LEIC,Supplies & Services,Provisions,Willoughby (731) Ltd T/A The Fabulous Bakin' Boys,20/11/2014,217.71,,,,,,,,,
Customer Services,Customer & Registrars Services,LMAA,Supplies & Services,Protective Clothing,IMAGE@WORK LTD,25/11/2014,3840.06,,,,,,,,,
Customer Services,Customer & Registrars Services,LMAG,Premises-Related Expenditure,Hire Of Rooms,DAWLEY CHRISTIAN CENTRE,27/11/2014,225,,,,,,,,,
Customer Services,Customer & Registrars Services,LSAA,Supplies & Services,Equipment - Purchase,WENLOCK SPRING WATER LTD,14/11/2014,109.6,,,,,,,,,
Customer Services,Customer & Registrars Services,LSAB,Premises-Related Expenditure,Grounds Maintenance - Cemeteries,P & W MAINTENANCE CONTRACTING LTD,14/11/2014,2652.85,,,,,,,,,
Customer Services,Customer & Registrars Services,LSAB,Premises-Related Expenditure,Grounds Maintenance - Cemeteries,P & W MAINTENANCE CONTRACTING LTD,14/11/2014,3731.37,,,,,,,,,
Customer Services,Customer & Registrars Services,LSAB,Supplies & Services,Grants To Voluntary Organis,COALBROOKDALE PAROCHIAL CHURCH COUNCIL,04/11/2014,222.66,,,,,,,,,
Customer Services,Customer & Registrars Services,LSAB,Supplies & Services,Grants To Voluntary Organis,DAWLEY BAPTIST CHURCH,04/11/2014,222.66,,,,,,,,,
Customer Services,Customer & Registrars Services,LSAB,Supplies & Services,Grants To Voluntary Organis,HOLY TRINITY CHURCH DAWLEY DCC,04/11/2014,445.32,,,,,,,,,
Customer Services,Customer & Registrars Services,LSAB,Supplies & Services,Grants To Voluntary Organis,LITTLE WENLOCK PAROCHIAL CHURCH COUNCIL,04/11/2014,222.66,,,,,,,,,
Customer Services,Customer & Registrars Services,LSAB,Supplies & Services,Grants To Voluntary Organis,PCC WROCKWARDINE WOOD RESTORATION,04/11/2014,222.66,,,,,,,,,
Customer Services,Customer & Registrars Services,LSAB,Supplies & Services,Grants To Voluntary Organis,ST GEORGES PAROCHIAL CHURCH COUNCIL,04/11/2014,222.66,,,,,,,,,
Customer Services,Customer & Registrars Services,LSAB,Supplies & Services,Grants To Voluntary Organis,ST LEONARDS DCC,04/11/2014,667.98,,,,,,,,,
Customer Services,Customer & Registrars Services,LSAB,Supplies & Services,Grants To Voluntary Organis,ST MATTHEWS PAROCHIAL CHURCH COUNCIL,04/11/2014,222.66,,,,,,,,,
Customer Services,Customer & Registrars Services,LSAB,Supplies & Services,Grants To Voluntary Organis,ST PETERS CHURCH,04/11/2014,222.66,,,,,,,,,
Customer Services,Customer & Registrars Services,LSAB,Supplies & Services,Grants To Voluntary Organis,ST PETERS PARISH CHURCH,04/11/2014,222.66,,,,,,,,,
Customer Services,Customer & Registrars Services,LSAB,Supplies & Services,Grants To Voluntary Organis,WATERS UPTON PARISH COUNCIL 33690568,04/11/2014,222.66,,,,,,,,,
Customer Services,Customer & Registrars Services,LSAB,Supplies & Services,Grants To Voluntary Organis,WROCKWARDINE WOOD METHODIST CHURCH,05/11/2014,222.66,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,ASAB,Supplies & Services,Advertising,THE MIDLAND NEWS ASSOCIATION LTD,14/11/2014,189.18,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,ASAB,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,12/11/2014,694.72,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,ASAB,Supplies & Services,Subscriptions,NAT ASSOC OF BRITISH MARKET AUTHORITIES,12/11/2014,397.5,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,ASAB,Supplies & Services,Subscriptions,NAT ASSOC OF BRITISH MARKET AUTHORITIES,24/11/2014,150,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAA,Premises-Related Expenditure,Grounds Maintenance,NOBRIDGE LTD,11/11/2014,3351.81,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAA,Premises-Related Expenditure,Grounds Maintenance,TELFORD & WREKIN SERVICES LTD,21/11/2014,6069.16,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAD,Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,12/11/2014,18478.81,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAY,Employees,Course Fees,TELFORD COLLEGE OF ARTS & TECHNOLOGY,14/11/2014,660,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,Preventative Maintenance,ACUTE SALES LIMITED,17/11/2014,550,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,AY FABRICATIONS LTD,17/11/2014,126,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,AY FABRICATIONS LTD,17/11/2014,126,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,LOCSAFE SECURITY SYSTEMS,03/11/2014,109.95,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,NOVASCOPE IT LTD,20/11/2014,164,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,SCREWFIX DIRECT,19/11/2014,173.88,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,SCREWFIX DIRECT,19/11/2014,105.65,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,SCREWFIX DIRECT,20/11/2014,219.54,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,SCREWFIX DIRECT,19/11/2014,108.33,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,TELFORD & WREKIN SERVICES LTD,20/11/2014,2742.11,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAY,Premises-Related Expenditure,R&M -Buildings DLO Charge,WREKIN DRAIN SERVICES LTD,11/11/2014,170,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CFAY,Supplies & Services,Equipment - Hire,DCI RECYCLING,20/11/2014,200,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,19/11/2014,101.56,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,19/11/2014,115.59,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,25/11/2014,214.99,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,10/11/2014,137.78,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,10/11/2014,120.1,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,10/11/2014,128.32,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CLCM,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,24/11/2014,159.11,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CLSP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,25/11/2014,110.66,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CLSP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,25/11/2014,229.47,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CLSP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,18/11/2014,131.29,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CLSP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,18/11/2014,103.74,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CLSP,Premises-Related Expenditure,Clean Mats & Toilet Requisites,Border Janitorial Supplies Limited,18/11/2014,139.85,,,,,,,,,
Customer Services,Facilities Management and Cleaning Services,CLSP,Supplies & Services,Equipment - Repair,THE CLEAN MACHINE DIRECT LTD,19/11/2014,157.55,,,,,,,,,
Customer Services,ICT,CBAF,Supplies & Services,Telecomms,Airband Community Internet,11/11/2014,295,,,,,,,,,
Customer Services,ICT,CBAF,Supplies & Services,Telecomms,Airband Community Internet,11/11/2014,295,,,,,,,,,
Customer Services,ICT,CBAG,Supplies & Services,Comp Software (Purch / Hire),NORTHGATE INFORMATION SOLUTIONS UK LTD,07/11/2014,4333.14,,,,,,,,,
Customer Services,ICT,CBAG,Supplies & Services,Equipment - Purchase,EUROPEAN ELECTRONIQUE LTD,18/11/2014,3655,,,,,,,,,
Customer Services,ICT,CBAG,Supplies & Services,Equipment - Purchase,EUROPEAN ELECTRONIQUE LTD,11/11/2014,1244,,,,,,,,,
Customer Services,ICT,CBAG,Supplies & Services,Mobile Phones,EE LTD,11/11/2014,5887.18,,,,,,,,,
Customer Services,ICT,CBAG,Supplies & Services,Mobile Phones,EE LTD,11/11/2014,1747.18,,,,,,,,,
Customer Services,ICT,CBAG,Supplies & Services,Mobile Phones,EE LTD,11/11/2014,914.5,,,,,,,,,
Customer Services,ICT,CBAG,Supplies & Services,Mobile Phones,EE LTD,11/11/2014,157.08,,,,,,,,,
Customer Services,ICT,CBAG,Supplies & Services,Mobile Phones,EE LTD,11/11/2014,2257.51,,,,,,,,,
Customer Services,ICT,CBAG,Supplies & Services,Mobile Phones,EE LTD,11/11/2014,887.41,,,,,,,,,
Customer Services,ICT,CBAG,Supplies & Services,Mobile Phones,EE LTD,11/11/2014,16279.29,,,,,,,,,
Customer Services,ICT,CBAG,Supplies & Services,Mobile Phones,EE LTD,11/11/2014,"1,279.83",,,,,,,,,
Customer Services,ICT,CBAG,Supplies & Services,Other Expenses,PROCESS FLOWS UK LTD,11/11/2014,607.83,,,,,,,,,
Customer Services,ICT,CBAG,Supplies & Services,Telephones,VIRGIN MEDIA BUSINESS,11/11/2014,10210.81,,,,,,,,,
Customer Services,ICT,CBAH,Premises-Related Expenditure,R&M -Building Other,Protec Fire Detection PLC,11/11/2014,2390.61,,,,,,,,,
Customer Services,ICT,CBAH,Premises-Related Expenditure,R&M -Building Other,UPS DIRECT LTD,10/11/2014,675,,,,,,,,,
Customer Services,ICT,CBAH,Supplies & Services,Computer Hardware (Maint),DELL CORPORATION,25/11/2014,1996.38,,,,,,,,,
Customer Services,ICT,CBAH,Supplies & Services,Computer Hardware (Maint),DELL CORPORATION,12/11/2014,748.37,,,,,,,,,
Customer Services,ICT,CBAH,Supplies & Services,Computer Hardware (Maint),DELL CORPORATION,11/11/2014,1420.74,,,,,,,,,
Customer Services,ICT,CBAH,Supplies & Services,Telecomms,Airband Community Internet,11/11/2014,650,,,,,,,,,
Customer Services,ICT,CBAJ,Employees,Recruitment Advertising,TOTALJOBS GROUP,06/11/2014,-400,,,,,,,,,
Customer Services,ICT,CBAJ,Employees,Recruitment Advertising,USE 508347 - Total Jobs Group,05/11/2014,400,,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Comp Software (Purch / Hire),CIVICA SERVICES LTD 23120510),04/11/2014,36628,,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Comp Software (Purch / Hire),DATA INTERCHANGE PLC,11/11/2014,223,,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Comp Software (Purch / Hire),NORTHGATE INFORMATION SOLUTIONS UK LTD,14/11/2014,"4,333.14",,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Comp Software (Purch / Hire),NORTHGATE INFORMATION SOLUTIONS UK LTD,14/11/2014,"4,333.14",,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Comp Software (Purch / Hire),NORTHGATE INFORMATION SOLUTIONS UK LTD,14/11/2014,"4,333.14",,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,14/11/2014,"1,745.92",,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,20/11/2014,"1,097.00",,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,20/11/2014,"1,735.52",,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,20/11/2014,879.60,,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,20/11/2014,1442.32,,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,20/11/2014,609.6,,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Comp Software (Purch / Hire),RNM SYSTEMS LIMITED,26/11/2014,"4,432.05",,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,External Computer Use,WELLDATA LTD,04/11/2014,5576.04,,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Mobile Phones,EE LTD,11/11/2014,-4320,,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Mobile Phones,ORANGE PCS LTD,11/11/2014,8046,,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Mobile Phones,ORANGE PCS LTD,11/11/2014,-4080,,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Telecomms,Airband Community Internet,11/11/2014,295,,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Telecomms,Airband Community Internet,11/11/2014,500,,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Telecomms,Airband Community Internet,11/11/2014,250,,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Telecomms,Airband Community Internet,11/11/2014,250,,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Telecomms,VODAFONE LTD (70649252),11/11/2014,5035.52,,,,,,,,,
Customer Services,ICT,CBAJ,Supplies & Services,Telephones,BRITISH TELECOMMUNICATIONS PLC,14/11/2014,"3,740.60",,,,,,,,,
Customer Services,ICT,CBAL,Supplies & Services,Photocopying,SPECIALIST COMPUTERS CENTRES PLC,24/11/2014,16787.97,,,,,,,,,
Customer Services,ICT,CBAL,Supplies & Services,Stationery,PREMIER PAPER GROUP LTD,21/11/2014,248.75,,,,,,,,,
Customer Services,ICT,CBAL,Supplies & Services,Stationery,PREMIER PAPER GROUP LTD,21/11/2014,497.5,,,,,,,,,
Customer Services,ICT,WCAG,Capital Expenditure,Computer Software,CIVICA UK LIMITED,26/11/2014,171.2,,,,,,,,,
Customer Services,ICT,WCAG,Capital Expenditure,Computer Software,CLARITY RETAIL SYSTEMS LTD,20/11/2014,4598.75,,,,,,,,,
Customer Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,CAPITA IT SERVICES LIMITED,20/11/2014,123465,,,,,,,,,
Customer Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,Oaresome LTD,24/11/2014,2875,,,,,,,,,
Customer Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,Oaresome LTD,24/11/2014,2875,,,,,,,,,
Customer Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,OPTEVIA,24/11/2014,1240,,,,,,,,,
Customer Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,SPECIALIST COMPUTERS CENTRES PLC,18/11/2014,3507,,,,,,,,,
Customer Services,ICT,WCAG,Capital Expenditure,Payments to Contractor,SPECIALIST COMPUTERS CENTRES PLC,18/11/2014,13650,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,Askews,20/11/2014,7000,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,13/11/2014,246.15,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,13/11/2014,567.89,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,13/11/2014,440.07,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,05/11/2014,730.62,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,05/11/2014,431.76,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,05/11/2014,129.3,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,20/11/2014,667.09,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,20/11/2014,118.59,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,20/11/2014,141.3,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,12/11/2014,399.33,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,12/11/2014,197.37,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,27/11/2014,141.64,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,12/11/2014,550.82,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,27/11/2014,469.12,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,27/11/2014,449.54,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,27/11/2014,112.9,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,BERTRAMS LIBRARY SERVICES,27/11/2014,931.16,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,JCS ONLINE RESOURCES LTD,20/11/2014,250,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,LIBRARY MAGNA BOOKS LIMITED,03/11/2014,249.76,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,LIBRARY MAGNA BOOKS LIMITED,03/11/2014,279.28,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,LIBRARY MAGNA BOOKS LIMITED,27/11/2014,171.72,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,OAKHILL PUBLISHING LTD,05/11/2014,365.6,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,03/11/2014,111.68,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,12/11/2014,232,,,,,,,,,
Customer Services,Library Services,LLAA,Supplies & Services,Libraries Book Fund,ULVERSCROFT LARGE PRINT BOOKS LIMITED,12/11/2014,192.4,,,,,,,,,
