Service Delivery Area(T),Service Delivery Team(T),CostC,ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date,Amount,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,342.16,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,109.19,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,120.49,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,114.7,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,211.92,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,282.73,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,168.86,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,280.16,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,179.71,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,164.51,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,274.06,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,264.72,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,174.35,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,158.22,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,150.82,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,102.75,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,115.54,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,161.81,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,170.78,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,119.97,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,151.65,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,158.68,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,106.24,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,159.48,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,221.06,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,475.04,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,263.98,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,242.66,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,203.67,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,159.36,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,202.09,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,265.33,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,217.48,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,159.02,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,289.01,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,146.3,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,413.76,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,329.45,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,408.45,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,145.29,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,117.85,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,101.94,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,106.15,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,146.02,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,338.51,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,158.95,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,116.85,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,151.29,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,113.5,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,152.41,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,117.61,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,160.22,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,120.09,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,187.03,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,130.23,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,179.35,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,124.94,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,102.89,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,174.88,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,140.11,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,143.83,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,292.81,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,226.09,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,135.59,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,101.13,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,179.4,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,129.45,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,136.81,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,310.45,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,125.15,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,171.13,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,199.24,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,146.59,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,181.09,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,153.53,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,110.59,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,284.91,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,114.6,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,17/10/2014,106.95,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,158.36,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,187.17,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,183.42,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,167.07,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,312.26,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,133.56,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,117.14,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,139.67,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,218.26,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,290.99,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,291.38,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,123.4,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,167.19,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,112.12,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,114.79,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,110.93,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,376.75,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,346.34,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,239.94,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,110.74,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,101.35,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,131.52,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,148.6,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,198.27,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,179.35,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,271.92,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,304.08,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,107.05,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,211.06,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,179.35,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,261.23,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,112.7,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,130.7,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,124.15,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,267.11,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,196.82,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,196.51,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,196.08,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,133.86,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,135.48,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,239.28,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,113.91,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,289.14,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,229.9,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,104.56,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,159.76,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,261.61,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,187.34,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,224.8,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,133.92,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,158.18,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,224.99,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,238.92,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,133.05,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,150.26,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,147.91,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,131.44,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,103.55,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,154.05,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,261.03,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,123.15,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,107.91,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,129.48,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,253.58,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,346.09,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,253.85,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,147.71,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,183.94,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,226.46,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,531.03,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,211.89,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,119.16,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,113.33,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,210.47,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,140.29,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,186.97,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,252.84,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,141.75,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,03/10/2014,198.76,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,31/10/2014,124.28,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,31/10/2014,191.18,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,184.14,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,196.78,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,319.01,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,166.4,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,103.01,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,301.03,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,649.07,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,145.18,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,216.05,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,130.27,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,274.92,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,124.09,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,162.32,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,263.87,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,167.74,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,257.11,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,244.1,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,139.25,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,113.97,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,100.69,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,109.65,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,159.12,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,198.46,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,206.44,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,232.61,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,107.18,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,153.44,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,206.94,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,105.66,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,119.56,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,282.74,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,167.7,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,390.24,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,139.81,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,225.06,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,133.58,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,327.34,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,269.3,,,
Customer Services,Catering,CASP,Supplies & Services,Provisions,BIKOLD,10/10/2014,121.19,,,
