Service Delivery Area(T),Service Delivery Team(T),ExpenditureGroup(T),Account(T),Supplier Name(T),Trans Date, Amount (£) 
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Churches Fire Security Ltd,20/06/2018,100.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Churches Fire Security Ltd,07/06/2018,135.9
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Churches Fire Security Ltd,20/06/2018,112.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Churches Fire Security Ltd,08/06/2018,152.75
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Churches Fire Security Ltd,20/06/2018,108
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Churches Fire Security Ltd,20/06/2018,142
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Churches Fire Security Ltd,20/06/2018,168.7
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,20/06/2018,239.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,20/06/2018,276.25
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,20/06/2018,267.25
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,20/06/2018,225
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Churches Fire Security Ltd,08/06/2018,177.45
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Churches Fire Security Ltd,20/06/2018,495
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,08/06/2018,138.75
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,08/06/2018,383.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,08/06/2018,190.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,04/06/2018,150
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,04/06/2018,262.2
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,04/06/2018,360.8
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,Churches Fire Security Ltd,22/06/2018,254.75
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,07/06/2018,161.25
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Churches Fire Security Ltd,07/06/2018,111.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Grounds Maintenance - Other,Cropper Grounds Maintenance Ltd,13/06/2018,"4,169.02"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Grounds Maintenance - Other,Cropper Grounds Maintenance Ltd,04/06/2018,"4,169.02"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Grounds Maintenance - Other,Cropper Grounds Maintenance Ltd,04/06/2018,"4,169.02"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Trade Refuse,FCC Recycling (UK) Ltd ,11/06/2018,458.38
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Trade Refuse,FCC Recycling (UK) Ltd ,13/06/2018,"1,509.04"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Trade Refuse,FCC Recycling (UK) Ltd ,22/06/2018,801.84
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Trade Refuse,FCC Recycling (UK) Ltd ,22/06/2018,252.07
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Trade Refuse,FCC Recycling (UK) Ltd ,22/06/2018,229.19
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Trade Refuse,FCC Recycling (UK) Ltd ,08/06/2018,"1,375.14"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Trade Refuse,FCC Recycling (UK) Ltd ,12/06/2018,590.46
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Trade Refuse,FCC Recycling (UK) Ltd ,12/06/2018,"1,152.06"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Riello UPS Ltd,14/06/2018,"4,085.10"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Other,The Telford Langley School ,25/06/2018,"79,281.00"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,ARJO UK LTD,22/06/2018,397.57
Commercial Services,Property & Design (BiT),Supplies & Services,Equipment - Purchase,ACUTE SALES LIMITED,15/06/2018,332.35
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,AUDIENCE SYSTEMS LTD,04/06/2018,"1,430.00"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,AQUALOGIC (WC) LTD,12/06/2018,105
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,Reacted Personal Information,04/06/2018,412.4
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,15/06/2018,235.76
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,15/06/2018,136.19
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,22/06/2018,480.36
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,13/06/2018,170
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,13/06/2018,102
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,04/06/2018,"1,356.80"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,04/06/2018,102.41
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,04/06/2018,126.92
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,04/06/2018,659.7
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,04/06/2018,153.19
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,04/06/2018,252.31
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,04/06/2018,184.56
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,13/06/2018,784.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,13/06/2018,119
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,13/06/2018,106.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,13/06/2018,977.97
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,15/06/2018,203.01
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,BRADLEY INDUSTRIAL SERVICES,04/06/2018,103.5
Commercial Services,Property & Design (BiT),Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,04/06/2018,"14,916.41"
Commercial Services,Property & Design (BiT),Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,22/06/2018,737.74
Commercial Services,Property & Design (BiT),Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,22/06/2018,698.62
Commercial Services,Property & Design (BiT),Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,08/06/2018,737.74
Commercial Services,Property & Design (BiT),Supplies & Services,Security Services,BUSINESS WATCH GUARDING LIMITED,20/06/2018,"15,751.73"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,General Rents,BWLCHGWYN FARM,04/06/2018,"6,000.00"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,General Rents,COMBINED PROPERTY CONTROL,14/06/2018,"118,150.13"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Leasehold Rents,RECURRING PAYMENTS ONLY - CHURCHILL PL LIMITED-MARK TOLLY,20/06/2018,544.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Leasehold Rents,RECURRING PAYMENTS ONLY - CHURCHILL PL LIMITED-MARK TOLLY,20/06/2018,445.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Leasehold Rents,RECURRING PAYMENTS ONLY - CHURCHILL PL LIMITED-MARK TOLLY,20/06/2018,445.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Leasehold Rents,RECURRING PAYMENTS ONLY - CHURCHILL PL LIMITED-MARK TOLLY,20/06/2018,445.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Leasehold Rents,RECURRING PAYMENTS ONLY - CHURCHILL PL LIMITED-MARK TOLLY,20/06/2018,445.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Leasehold Rents,RECURRING PAYMENTS ONLY - CHURCHILL PL LIMITED-MARK TOLLY,20/06/2018,445.5
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,DMW ENVIRONMENTAL SAFETY LTD,21/06/2018,450
Commercial Services,Property & Design (BiT),Supplies & Services,Comp Hardware (Purch / Hire),EUROPEAN ELECTRONIQUE LTD,14/06/2018,610
Commercial Services,Property & Design (BiT),Supplies & Services,Security Services,LEISURE SEC PLC,20/06/2018,150
Commercial Services,Property & Design (BiT),Supplies & Services,Security Services,LEISURE SEC PLC,20/06/2018,150
Commercial Services,Property & Design (BiT),Supplies & Services,Security Services,LEISURE SEC PLC,20/06/2018,150
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Swimming Pool Chemicals,MAIN MAN SUPPLIES LTD,06/06/2018,438.42
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Swimming Pool Chemicals,MAIN MAN SUPPLIES LTD,15/06/2018,448.74
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,NYKE ENERGY SERVICES LIMITED,21/06/2018,384
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,OSPREY WATER MANAGEMENT LTD,12/06/2018,"2,505.33"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Clean Mats & Toilet Requisites,PROVAC CLEANING SUPPLIES LTD,27/06/2018,512.3
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Clean Mats & Toilet Requisites,PROVAC CLEANING SUPPLIES LTD,05/06/2018,125.42
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Clean Mats & Toilet Requisites,PROVAC CLEANING SUPPLIES LTD,19/06/2018,564.3
Commercial Services,Property & Design (BiT),Supplies & Services,Comp Software (Purch / Hire),PHOENIX SOFTWARE LTD,22/06/2018,"2,699.66"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,PROKILL UK LIMITED,20/06/2018,108.94
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,PROKILL UK LIMITED,20/06/2018,110
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,QUICK SKIPS (TELFORD) LTD,25/06/2018,400
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,SECURITY WISE LTD,22/06/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,SECURITY WISE LTD,22/06/2018,195
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,SECURITY WISE LTD,08/06/2018,160
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,13/06/2018,115
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,21/06/2018,125
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,21/06/2018,245
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,21/06/2018,244
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,07/06/2018,325
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,20/06/2018,248
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,20/06/2018,160
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,20/06/2018,160
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,11/06/2018,262
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,13/06/2018,457
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,26/06/2018,190
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,08/06/2018,260
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,07/06/2018,160
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,07/06/2018,140
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,07/06/2018,160
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,08/06/2018,160
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,08/06/2018,670
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,08/06/2018,160
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,21/06/2018,"1,883.00"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,21/06/2018,370.25
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,22/06/2018,140
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SECURITY WISE LTD,22/06/2018,195
Commercial Services,Property & Design (BiT),Supplies & Services,Printing - Other,STANFORD MARSH FINANCE LTD,15/06/2018,593.3
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Electricity,SCOTTISH & SOUTHERN ENERGY,29/06/2018,267.82
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Gas,SCOTTISH & SOUTHERN ENERGY,29/06/2018,343.28
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SPECTRUM MOBILE COMMUNICATIONS LTD,29/06/2018,130
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,SAXON LIFTS LTD,22/06/2018,"2,160.00"
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,G M TREBLE LTD,15/06/2018,396
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,R&M -Buildings DLO Charge,TECHNOLOGY SUPPLIES,15/06/2018,191.71
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Service Contracts,TURNER ENGINE POWERED SERVICES LTD,26/06/2018,135
Commercial Services,Property & Design (BiT),Premises-Related Expenditure,Trade Refuse,VEOLIA ES (UK) LTD,04/06/2018,101.54
